Database
employee
employee_payroll_tracking_system
hospital_patient_records_management_system
hr_payroll_data
information_schema
inventory_stock_control_system
library_book_management_system
mysql
performance_schema
restaurant_reservation_system
sales_pipeline_data
student_db
students
sys
